Tweet ID,clean_text,sentiment,confidence,stance,stance_score,sentiment_raw
1990828187006201982,kepala bgn ungkap penggunaan nitrin tinggi penyebab utama keracunan mbg,neutral,0.9730653762817383,netral,0.33883076906204224,neutral
1990808795518546193,program mbg dorong pertumbuhan umkm tempe permintaan kedelai simak selengkapnya baca artikel lainnya,neutral,0.9978271126747131,netral,0.37648269534111023,neutral
1990807038474006730,harta kekayaan cucun ahmad wakil ketua dpr pernah sebut mbg tak perlu ahli gizi,neutral,0.9974763989448547,netral,0.376171350479126,neutral
1990791277802394082,polemik mbg makin panas ahli gizi menyampaikan fakta teknis malah dipotong dibentak dibilang arogan setelah viral cucun klarifikasi bahwa maksudnya soal keterbatasan tenaga ahli tapi soal etika netizen sudah keburu ngamuk error,negative,0.9968701004981995,kontra,0.4157259464263916,negative
1990790947966447998,presiden brazil memerlukan 11 tahun mencapai 40juta belum sampai 12 bulan udah 44 juta penerima,neutral,0.9989247918128967,netral,0.35694846510887146,neutral
1990755488422826100,mbg dongkrak permintaan kedelai umkm tempe tumbuh pesat,positive,0.7231540679931641,pro,0.3720414340496063,positive
1990746595206574462,lebih mahal dapur umum dpr pertanyakan anggaran pembangunan sppg senilai rp1 97 triliun,neutral,0.9983254075050354,netral,0.3750983476638794,neutral
1990740446977409459,berkelanjutan berdaya saing melalui pembangunan berfokus manusia gizi,neutral,0.7639812231063843,netral,0.3758609890937805,neutral
1990732740543549471,viral ucapkan mbg tak butuh ahli gizi waket dpr cucun ahmad akhirnya meminta maaf melakukan klarifikasi baca selengkapnya,neutral,0.9389090538024902,netral,0.37940213084220886,neutral
1990729632090337547,berita2 bulan oktober yg cukup menarik dibahas,positive,0.7088185548782349,pro,0.3791784942150116,positive
1990725173243199750,orang orang sekitar tiba tiba sppg,negative,0.7350530028343201,kontra,0.39073508977890015,negative
1990724797819416648,achmad ru yat dorong kehadiran ahli gizi setiap sppg sukseskan program makan bergizi gratis,neutral,0.9983147382736206,netral,0.36835047602653503,neutral
1990721646903099765,gelar pertemuan dpr bgn persagi sepakat tambah ahli gizi program mbg,neutral,0.9987420439720154,netral,0.377880334854126,neutral
1990718059259019346,maksudnya apa apakah tujuan mbg diberikan uang embel2 hadiah kecil2an ompeng sorry tapi miris makin gila dijadikan konten pula heyyy,negative,0.9994328618049622,kontra,0.3660646677017212,negative
1990715973557768309,tanggapi pernyataan cucun soal tak perlu ahli gizi tegaskan perlu standar kompetensi,neutral,0.9980013966560364,netral,0.3564758598804474,neutral
1990715490914693499,41 dapur mbg milik anak dewan apa salahnya kaya makin kaya orde baru mbg,negative,0.7897013425827026,kontra,0.3701559007167816,negative
1990714094178218273,ramai disorot pernyataan bahwa mbg tak perlu ahli gizi menuai protes termasuk dr tan menegaskan pentingnya tenaga profesional gt gt,neutral,0.9958521127700806,netral,0.3622604310512543,neutral
1990712413491228879,pentingnya ahli gizi program mbg baca selengkapnya rkd,neutral,0.9905377626419067,netral,0.3532449007034302,neutral
1990705947585687712,cucun minta maaf soal ucapan soal ahli gizi mbg waket dpr ri akui tak bermaksud remehkan profesi,neutral,0.9197189807891846,netral,0.383328378200531,neutral
1990702603181961565,prabowo tegaskan mbg harus bebas penyimpangan uang rakyat,neutral,0.9940286874771118,netral,0.401528924703598,neutral
1990700420424208710,presiden prabowo penerima mbg kini tembus 44 juta orang simak selengkapnya baca artikel lainnya,neutral,0.9988608360290527,netral,0.37959104776382446,neutral
